pkg_current_power, pp0_current_power, pp1_current_power, dram_current_power, total_time
9.39138,4.82669,2.33979,0,0.100404
5.5934,3.1159,0.233312,0,0.200598
4.36675,2.99346,0.0950884,0,0.300731
4.26165,2.98529,0,0,0.400913
5.77934,4.3044,0.518409,0,0.507346
5.21538,3.64528,0.00121855,0,0.607523
4.05987,2.86439,0.023154,0,0.707693
4.51185,3.31734,0,0,0.807893
5.01957,3.22508,0.0195053,0,0.908026
5.61796,3.7317,0.278521,0,1.00817
4.58359,3.3795,0.0109684,0,1.10834
6.44396,5.16431,0.0109684,0,1.2085
5.17676,3.92324,0.0207192,0,1.30866
5.1928,3.8571,0.0804706,0,1.40878
5.30899,3.70691,0.340039,0,1.50893
5.30428,4.10286,0,0,1.60907
5.42295,4.18345,0.0322976,0,1.70922
5.03282,3.81485,0.0103631,0,1.80935
5.22418,4.01476,0.0128014,0,1.90947
5.08763,3.88613,0.0109726,0,2.0096
6.10053,4.25903,0.0353548,0,2.10973
5.84303,4.26599,0,0,2.20985
5.50437,4.20844,0.0213348,0,2.30998
5.30611,4.09006,0,0,2.41011
6.49082,4.76493,0.474908,0,2.51023
7.81753,4.94875,0.947321,0,2.61035
8.16911,5.00412,0.961932,0,2.71048
6.66884,4.72305,0.474866,0,2.8106
6.52492,4.57183,0.491319,0,2.91073
7.2284,4.72202,1.01243,0,3.01086
6.39223,4.34803,0.533904,0,3.11101
6.24175,4.2408,0.540005,0,3.21115
6.25345,4.24942,0.536358,0,3.31129
4.83671,3.52193,0.0883834,0,3.41142
5.43415,4.06556,0.110951,0,3.51154
4.92529,3.62082,0.0707096,0,3.61167
5.52488,3.89783,0,0,3.71179
5.71302,3.77942,0.179218,0,3.81192
5.47456,4.08291,0.0993601,0,3.91205
4.87567,3.66452,0.0225528,0,4.01218
5.06249,3.85615,0.0207254,0,4.11231
5.10257,3.89078,0.0225535,0,4.21244
5.63615,4.43224,0,0,4.31257
5.55397,3.99586,0.0445,0,4.41269
5.70625,3.89276,0,0,4.51282
5.66979,4.43659,0.0231644,0,4.61294
5.55026,4.26343,0.0262121,0,4.71307
5.43533,4.22904,0,0,4.8132
5.656,4.45567,0,0,4.91332
5.58362,4.35717,0.0195061,0,5.01345
